,job_position
421,datascientist
422,productdesigner
423,backendengineer
424,backendengineer
425,foo
426,foo
427,backendengineer
428,foo
429,backendengineer
430,supportengineer
431,frontendengineer
432,androidengineer
433,other
434,frontendengineer
435,androidengineer
436,foo
437,backendengineer
438,systemengineer
439,foo
440,sdet
441,foo
442,fullstackengineer
443,foo
444,frontendengineer
445,productmanager
446,fullstackengineer
447,other
448,backendengineer
449,fullstackengineer
450,other
451,foo
452,other
453,backendengineer
454,backendengineer
455,foo
456,fullstackengineer
457,other
458,backendengineer
459,other
460,fullstackengineer
461,fullstackengineer
462,frontendengineer
463,foo
464,other
465,sdet
466,other
467,qaengineer
468,foo
469,foo
470,qaengineer
471,other
472,foo
473,sdet
474,fullstackengineer
475,backendengineer
476,backendengineer
477,backendengineer
478,backendengineer
479,productmanager
480,fullstackengineer
481,other
482,fullstackengineer
483,other
484,foo
485,foo
486,backendengineer
487,qaengineer
488,other
489,foo
490,qaengineer
491,engineeringleadership
492,foo
493,fullstackengineer
494,supportengineer
495,supportengineer
496,cofounder
497,dataanalyst
498,fullstackengineer
499,other
500,qaengineer
501,fullstackengineer
502,supportengineer
503,frontendengineer
504,qaengineer
505,foo
506,backendengineer
507,foo
508,backendengineer
509,supportengineer
510,foo
511,dataanalyst
512,supportengineer
513,dataanalyst
514,backendengineer
515,devopsengineer
516,other
517,fullstackengineer
518,dataanalyst
519,backendengineer
520,other
521,backendengineer
522,foo
523,other
524,dataanalyst
525,backendengineer
526,other
527,foo
528,other
529,backendengineer
530,supportengineer
531,qaengineer
532,foo
533,other
534,fullstackengineer
535,backendengineer
536,supportengineer
537,frontendengineer
538,backendengineer
539,fullstackengineer
540,androidengineer
541,qaengineer
542,supportengineer
543,frontendengineer
544,datascientist
545,backendengineer
546,other
547,other
548,frontendengineer
549,other
550,devopsengineer
551,other
552,backendengineer
553,engineeringleadership
554,fullstackengineer
555,backendengineer
556,other
557,foo
558,other
559,foo
560,androidengineer
561,qaengineer
562,backendengineer
563,backendengineer
564,foo
565,other
566,qaengineer
567,androidengineer
568,backendengineer
569,foo
570,other
571,other
572,foo
573,other
574,backendengineer
575,foo
576,datascientist
577,foo
578,productmanager
579,other
580,supportengineer
581,fullstackengineer
582,other
583,other
584,foo
585,foo
586,fullstackengineer
587,backendengineer
588,frontendengineer
589,other
590,backendengineer
591,fullstackengineer
592,fullstackengineer
593,foo
594,backendarchitect
595,other
596,dataanalyst
597,backendengineer
598,backendengineer
599,other
600,foo
601,other
602,foo
603,foo
604,fullstackengineer
605,foo
606,backendengineer
607,foo
608,backendengineer
609,fullstackengineer
610,qaengineer
611,foo
612,backendengineer
613,frontendengineer
614,qaengineer
615,dataanalyst
616,dataanalyst
617,backendengineer
618,foo
619,backendengineer
620,other
621,frontendengineer
622,fullstackengineer
623,databaseadministrator
624,other
625,supportengineer
626,backendengineer
627,supportengineer
628,foo
629,fullstackengineer
630,supportengineer
631,qaengineer
632,fullstackengineer
633,devopsengineer
634,other
635,devopsengineer
636,foo
637,frontendengineer
638,other
639,fullstackengineer
640,frontendengineer
641,backendengineer
642,backendengineer
643,fullstackengineer
644,dataanalyst
645,other
646,foo
647,qaengineer
648,foo
649,other
650,other
651,supportengineer
652,dataanalyst
653,qaengineer
654,fullstackengineer
655,fullstackengineer
656,fullstackengineer
657,fullstackengineer
658,productmanager
659,backendengineer
660,frontendengineer
661,other
662,supportengineer
663,devopsengineer
664,foo
665,other
666,supportengineer
667,qaengineer
668,frontendengineer
669,other
670,foo
671,frontendengineer
672,foo
673,other
674,fullstackengineer
675,backendengineer
676,foo
677,datascientist
678,other
679,foo
680,foo
681,backendengineer
682,fullstackengineer
683,other
684,backendengineer
685,foo
686,other
687,backendengineer
688,datascientist
689,other
690,backendengineer
691,other
692,dataanalyst
693,other
694,backendengineer
695,foo
696,foo
697,backendengineer
698,supportengineer
699,other
700,dataanalyst
701,sdet
702,other
703,backendengineer
704,backendengineer
705,other
706,foo
707,backendengineer
708,foo
709,qaengineer
710,devopsengineer
711,foo
712,foo
713,backendengineer
714,foo
715,frontendengineer
716,supportengineer
717,frontendengineer
718,backendengineer
719,foo
720,frontendengineer
721,supportengineer
722,other
723,fullstackengineer
724,backendengineer
725,foo
726,androidengineer
727,backendengineer
728,backendengineer
729,researchengineers
730,backendengineer
731,devopsengineer
732,backendengineer
733,qaengineer
734,other
735,productdesigner
736,backendengineer
737,engineeringleadership
738,qaengineer
739,fullstackengineer
740,supportengineer
741,fullstackengineer
742,frontendengineer
743,fullstackengineer
744,foo
745,foo
746,engineeringleadership
747,backendengineer
748,backendengineer
749,backendengineer
750,backendengineer
751,fullstackengineer
752,foo
753,foo
754,backendengineer
755,foo
756,foo
757,foo
758,programmanager
759,foo
760,foo
761,engineeringleadership
762,other
763,qaengineer
764,backendengineer
765,fullstackengineer
766,backendengineer
767,iosengineer
768,qaengineer
769,backendengineer
770,other
771,foo
772,other
773,supportengineer
774,backendengineer
775,fullstackengineer
776,iosengineer
777,backendengineer
778,fullstackengineer
779,backendengineer
780,researchengineers
781,backendengineer
782,androidengineer
783,foo
784,programmanager
785,foo
786,backendengineer
787,foo
788,foo
789,foo
790,foo
791,fullstackengineer
792,fullstackengineer
793,foo
794,frontendengineer
795,foo
796,foo
797,dataanalyst
798,foo
799,frontendengineer
800,databaseadministrator
801,backendengineer
802,backendengineer
803,dataanalyst
804,qaengineer
805,foo
806,foo
807,qaengineer
808,other
809,fullstackengineer
810,qaengineer
811,foo
812,foo
813,backendengineer
814,foo
815,foo
816,other
817,other
818,backendengineer
819,fullstackengineer
820,foo
821,other
822,qaengineer
823,engineeringleadership
824,dataanalyst
825,other
826,other
827,other
828,other
829,qaengineer
830,foo
831,supportengineer
832,backendengineer
833,foo
834,androidengineer
835,other
836,datascientist
837,backendengineer
838,backendengineer
839,frontendengineer
840,foo
841,backendengineer
842,fullstackengineer
843,other
844,backendengineer
845,backendarchitect
846,other
847,foo
848,foo
849,foo
850,other
851,engineeringleadership
852,frontendengineer
853,foo
854,foo
855,other
856,other
857,fullstackengineer
858,iosengineer
859,fullstackengineer
860,foo
861,engineeringleadership
862,foo
863,dataanalyst
864,foo
865,backendengineer
866,other
867,qaengineer
868,databaseadministrator
869,foo
870,frontendengineer
871,frontendengineer
872,fullstackengineer
873,foo
874,other
875,other
876,other
877,dataanalyst
878,foo
879,foo
880,other
881,other
882,foo
883,other
884,foo
885,other
886,foo
887,other
888,foo
889,foo
890,qaengineer
891,backendengineer
892,foo
893,backendengineer
894,androidengineer
895,foo
896,foo
897,foo
898,backendengineer
899,foo
900,foo
901,frontendengineer
902,backendengineer
903,qaengineer
904,foo
905,foo
906,other
907,frontendengineer
908,foo
909,dataanalyst
910,dataanalyst
911,dataanalyst
912,databaseadministrator
913,other
914,qaengineer
915,foo
916,supportengineer
917,backendengineer
918,other
919,other
920,other
921,foo
922,other
923,foo
924,frontendengineer
925,foo
926,fullstackengineer
927,fullstackengineer
928,fullstackengineer
929,dataanalyst
930,backendengineer
931,backendengineer
932,other
933,fullstackengineer
934,qaengineer
935,fullstackengineer
936,devopsengineer
937,other
938,backendengineer
939,foo
940,frontendengineer
941,frontendengineer
942,other
943,other
944,foo
945,devopsengineer
946,frontendengineer
947,databaseadministrator
948,fullstackengineer
949,engineeringintern
950,other
951,datascientist
952,foo
953,other
954,programmanager
955,dataanalyst
956,fullstackengineer
957,other
958,dataanalyst
959,foo
960,other
961,foo
962,foo
963,backendengineer
964,sdet
965,foo
966,other
967,devopsengineer
968,fullstackengineer
969,other
970,dataanalyst
971,frontendengineer
972,fullstackengineer
973,datascientist
974,frontendengineer
975,other
976,other
977,supportengineer
978,foo
979,other
980,foo
981,foo
982,qaengineer
983,foo
984,other
985,qaengineer
986,other
987,backendengineer
988,fullstackengineer
989,foo
990,other
991,fullstackengineer
992,foo
993,foo
994,fullstackengineer
995,other
996,iosengineer
997,foo
998,other
999,other
1000,foo
1001,other
1002,other
1003,backendengineer
1004,fullstackengineer
1005,backendengineer
1006,other
1007,foo
1008,qaengineer
1009,fullstackengineer
1010,other
1011,fullstackengineer
1012,foo
1013,frontendengineer
1014,foo
1015,qaengineer
1016,supportengineer
1017,foo
1018,qaengineer
1019,datascientist
1020,foo
1021,foo
1022,foo
1023,dataanalyst
1024,foo
1025,fullstackengineer
1026,other
1027,other
1028,fullstackengineer
1029,other
1030,devopsengineer
1031,qaengineer
1032,supportengineer
1033,foo
1034,other
1035,foo
1036,other
1037,other
1038,backendengineer
1039,supportengineer
1040,foo
1041,other
1042,other
1043,qaengineer
1044,foo
1045,other
1046,dataanalyst
1047,other
1048,programmanager
1049,supportengineer
1050,other
1051,foo
1052,other
1053,dataanalyst
1054,other
1055,fullstackengineer
1056,foo
1057,iosengineer
1058,qaengineer
1059,other
1060,cofounder
1061,fullstackengineer
1062,backendengineer
1063,foo
1064,qaengineer
1065,other
1066,dataanalyst
1067,other
1068,fullstackengineer
1069,androidengineer
1070,backendengineer
1071,programmanager
1072,foo
1073,other
1074,fullstackengineer
1075,other
1076,other
1077,other
1078,backendengineer
1079,other
1080,dataanalyst
1081,other
1082,other
1083,backendengineer
1084,foo
1085,other
1086,foo
1087,supportengineer
1088,researchengineers
1089,other
1090,backendengineer
1091,backendengineer
1092,foo
1093,engineeringleadership
1094,supportengineer
1095,other
1096,frontendengineer
1097,backendengineer
1098,other
1099,fullstackengineer
1100,other
1101,backendengineer
1102,qaengineer
1103,supportengineer
1104,qaengineer
1105,supportengineer
1106,devopsengineer
1107,engineeringintern
1108,foo
1109,other
1110,devopsengineer
1111,other
1112,other
1113,foo
1114,other
1115,foo
1116,fullstackengineer
1117,backendengineer
1118,other
1119,fullstackengineer
1120,other
1121,engineeringleadership
1122,other
1123,other
1124,foo
1125,foo
1126,fullstackengineer
1127,other
1128,foo
1129,other
1130,backendengineer
1131,other
1132,foo
1133,qaengineer
1134,foo
1135,foo
1136,productdesigner
1137,other
1138,backendengineer
1139,dataanalyst
1140,backendengineer
1141,foo
1142,other
1143,foo
1144,other
1145,frontendengineer
1146,other
1147,foo
1148,other
1149,foo
1150,fullstackengineer
1151,backendengineer
1152,other
1153,sdet
1154,frontendengineer
1155,foo
1156,foo
1157,backendengineer
1158,foo
1159,foo
1160,researchengineers
1161,foo
1162,foo
1163,backendengineer
1164,backendengineer
1165,researchengineers
1166,foo
1167,fullstackengineer
1168,other
1169,foo
1170,foo
1171,backendengineer
1172,fullstackengineer
1173,other
1174,other
1175,other
1176,backendengineer
1177,other
1178,foo
1179,other
1180,other
1181,other
1182,backendengineer
1183,researchengineers
1184,backendengineer
1185,foo
1186,backendengineer
1187,backendengineer
1188,foo
1189,dataanalyst
1190,qaengineer
1191,backendengineer
1192,foo
1193,other
1194,frontendengineer
1195,other
1196,engineeringleadership
1197,foo
1198,fullstackengineer
1199,supportengineer
1200,other
1201,other
1202,backendengineer
1203,other
1204,backendengineer
1205,backendengineer
1206,qaengineer
1207,other
1208,other
1209,other
1210,other
1211,backendengineer
1212,fullstackengineer
1213,supportengineer
1214,dataanalyst
1215,other
1216,qaengineer
1217,fullstackengineer
1218,datascientist
1219,foo
1220,backendengineer
1221,dataanalyst
1222,backendengineer
1223,fullstackengineer
1224,foo
1225,datascientist
1226,other
1227,dataanalyst
1228,foo
1229,fullstackengineer
1230,other
1231,other
1232,androidengineer
1233,fullstackengineer
1234,backendengineer
1235,backendengineer
1236,other
1237,dataanalyst
1238,qaengineer
1239,androidengineer
1240,qaengineer
1241,foo
1242,qaengineer
1243,fullstackengineer
1244,other
1245,backendengineer
1246,backendengineer
1247,frontendengineer
1248,backendengineer
1249,supportengineer
1250,other
1251,dataanalyst
1252,frontendengineer
1253,dataanalyst
1254,frontendengineer
1255,backendengineer
1256,backendengineer
1257,fullstackengineer
1258,fullstackengineer
1259,foo
1260,other
1261,fullstackengineer
1262,other
1263,foo
1264,other
1265,other
1266,datascientist
1267,other
1268,qaengineer
1269,devopsengineer
1270,fullstackengineer
1271,other
1272,fullstackengineer
1273,other
1274,supportengineer
1275,foo
1276,other
1277,fullstackengineer
1278,backendengineer
1279,fullstackengineer
1280,foo
1281,fullstackengineer
1282,other
1283,supportengineer
1284,supportengineer
1285,qaengineer
1286,backendengineer
1287,fullstackengineer
1288,dataanalyst
1289,foo
1290,backendengineer
1291,backendengineer
1292,fullstackengineer
1293,researchengineers
1294,foo
1295,backendengineer
1296,backendengineer
1297,backendengineer
1298,devopsengineer
1299,datascientist
1300,fullstackengineer
1301,fullstackengineer
1302,backendengineer
1303,other
1304,fullstackengineer
1305,backendengineer
1306,other
1307,foo
1308,backendengineer
1309,foo
1310,other
1311,backendengineer
1312,qaengineer
1313,backendengineer
1314,productdesigner
1315,programmanager
1316,other
1317,fullstackengineer
1318,foo
1319,fullstackengineer
1320,foo
1321,backendengineer
1322,foo
1323,fullstackengineer
1324,foo
1325,foo
1326,backendengineer
1327,frontendengineer
1328,backendengineer
1329,frontendengineer
1330,qaengineer
1331,foo
1332,backendarchitect
1333,fullstackengineer
1334,devopsengineer
1335,productmanager
1336,foo
1337,foo
1338,foo
1339,foo
1340,databaseadministrator
1341,foo
1342,frontendengineer
1343,other
1344,fullstackengineer
1345,backendengineer
1346,fullstackengineer
1347,foo
1348,foo
1349,foo
1350,fullstackengineer
1351,supportengineer
1352,foo
1353,foo
1354,frontendengineer
1355,backendengineer
1356,datascientist
1357,backendengineer
1358,foo
1359,foo
1360,fullstackengineer
1361,other
1362,foo
1363,fullstackengineer
1364,fullstackengineer
1365,foo
1366,foo
1367,foo
1368,datascientist
1369,engineeringleadership
1370,other
1371,foo
1372,foo
1373,foo
1374,qaengineer
1375,foo
1376,backendengineer
1377,foo
1378,frontendengineer
1379,foo
1380,other
1381,fullstackengineer
1382,devopsengineer
1383,foo
1384,fullstackengineer
1385,other
1386,foo
1387,foo
1388,datascientist
1389,foo
1390,backendengineer
1391,supportengineer
1392,foo
1393,fullstackengineer
1394,datascientist
1395,foo
1396,foo
1397,foo
1398,backendengineer
1399,backendengineer
1400,frontendengineer
1401,devopsengineer
1402,androidengineer
1403,datascientist
1404,foo
1405,backendengineer
1406,backendengineer
1407,foo
1408,engineeringintern
1409,fullstackengineer
1410,backendengineer
1411,researchengineers
